matricula,cidade_em_que_nasceu,município_em_que_mora,curso,ira,ano_de_ingresso,prazo_para_terminar_o_curso,ch_total,semestre_em_que_o_aluno_está,quantidade_de_trancamentos,quantidade_de_reprovações,media_das_notas,variancia_das_notas,CRT0012,CRT0013,CRT0014,CRT0015,CRT0016,CRT0017,CRT0018,CRT0019,CRT0020,CRT0024,CRT0029,CRT0045,CRT0046,CRT0047,CRT0048,CRT0050,CRT0052,CRT0053,CRT0054,CRT0055,CRT0058,CRT0059,CRT0061,CRT0066,CRT0067,CRT0068,CRT0077,CRT0079,CRT0081,CRT0082,CRT0086,CRT0089,CRT0092,CRT0101,CRT0107,CRT0119,CRT0122,CRT0132,CRT0141,CRT0175,CRT0184,CRT0185,CRT0186,CRT0187,CRT0188,CRT0189,CRT0190,CRT0191,CRT0192,CRT0193,CRT0194,CRT0195,CRT0196,CRT0197,CRT0198,CRT0199,CRT0200,CRT0201,CRT0202,CRT0203,CRT0204,CRT0205,CRT0206,CRT0207,CRT0208,CRT0209,CRT0210,CRT0212,CRT0213,CRT0214,CRT0215,CRT0216,CRT0218,CRT0219,CRT0220,CRT0222,CRT0223,CRT0224,CRT0225,CRT0257,CRT0280,CRT0283,CRT0284,CRT0285,CRT0286,CRT0287,CRT0288,CRT0289,CRT0290,CRT0291,CRT0292,CRT0293,CRT0294,CRT0314,CRT0338,CRT0339,CRT0340,CRT0342,CRT0343,CRT0344,CRT0345,CRT0347,CRT0348,CRT0349,CRT0350,CRT0351,CRT0353,CRT0358,CRT0359,CRT0366,CRT0368,CRT0377,CRT0386,CRT0399,CRT0400,CRT0423,CRT0435,CRT0436,CRT0437,CRT0438,CRT0439,CRT0440,CRT0441,CRT0442,CRT0443,CRT0444,CRT0445,CRT0446,CRT0447,CRT0448,CRT0449,CRT0450,CRT0451,CRT0452,CRT0453,CRT0454,CRT0455,CRT0456,CRT0457,CRT0458,CRT0459,CRT0460,CRT0461,CRT0464,CRT0466,CRT0467,CRT0468,CRT0469,CRT0471,CRT0472,CRT0473,CRT0474,CRT0475,CRT0476,CRT0477,CRT0478,CRT0479,CRT0480,CRT0481,CRT0482,CRT0483,CRT0484,CRT0485,CRT0486,CRT0487,CRT0488,CRT0497,CRT0498,CRT0499,CRT0500,CRT0502,CRT0503,CRT0504,CRT0505,CRT0507,CRT0509,CRT0540,CRT0596,CRT0597,CRT0598,CRT0600,CRT0951,CRT0952,CRT0953,CRT0954,CRT0955,CRT0956,CRT0960,reprovado_vezes_CRT0012,reprovado_vezes_CRT0013,reprovado_vezes_CRT0014,reprovado_vezes_CRT0015,reprovado_vezes_CRT0016,reprovado_vezes_CRT0017,reprovado_vezes_CRT0018,reprovado_vezes_CRT0019,reprovado_vezes_CRT0020,reprovado_vezes_CRT0024,reprovado_vezes_CRT0029,reprovado_vezes_CRT0045,reprovado_vezes_CRT0046,reprovado_vezes_CRT0047,reprovado_vezes_CRT0048,reprovado_vezes_CRT0050,reprovado_vezes_CRT0052,reprovado_vezes_CRT0053,reprovado_vezes_CRT0054,reprovado_vezes_CRT0055,reprovado_vezes_CRT0058,reprovado_vezes_CRT0059,reprovado_vezes_CRT0061,reprovado_vezes_CRT0066,reprovado_vezes_CRT0067,reprovado_vezes_CRT0068,reprovado_vezes_CRT0077,reprovado_vezes_CRT0079,reprovado_vezes_CRT0081,reprovado_vezes_CRT0082,reprovado_vezes_CRT0086,reprovado_vezes_CRT0089,reprovado_vezes_CRT0092,reprovado_vezes_CRT0101,reprovado_vezes_CRT0107,reprovado_vezes_CRT0119,reprovado_vezes_CRT0122,reprovado_vezes_CRT0132,reprovado_vezes_CRT0141,reprovado_vezes_CRT0175,reprovado_vezes_CRT0184,reprovado_vezes_CRT0185,reprovado_vezes_CRT0186,reprovado_vezes_CRT0187,reprovado_vezes_CRT0188,reprovado_vezes_CRT0189,reprovado_vezes_CRT0190,reprovado_vezes_CRT0191,reprovado_vezes_CRT0192,reprovado_vezes_CRT0193,reprovado_vezes_CRT0194,reprovado_vezes_CRT0195,reprovado_vezes_CRT0196,reprovado_vezes_CRT0197,reprovado_vezes_CRT0198,reprovado_vezes_CRT0199,reprovado_vezes_CRT0200,reprovado_vezes_CRT0201,reprovado_vezes_CRT0202,reprovado_vezes_CRT0203,reprovado_vezes_CRT0204,reprovado_vezes_CRT0205,reprovado_vezes_CRT0206,reprovado_vezes_CRT0207,reprovado_vezes_CRT0208,reprovado_vezes_CRT0209,reprovado_vezes_CRT0210,reprovado_vezes_CRT0212,reprovado_vezes_CRT0213,reprovado_vezes_CRT0214,reprovado_vezes_CRT0215,reprovado_vezes_CRT0216,reprovado_vezes_CRT0218,reprovado_vezes_CRT0219,reprovado_vezes_CRT0220,reprovado_vezes_CRT0222,reprovado_vezes_CRT0223,reprovado_vezes_CRT0224,reprovado_vezes_CRT0225,reprovado_vezes_CRT0257,reprovado_vezes_CRT0280,reprovado_vezes_CRT0283,reprovado_vezes_CRT0284,reprovado_vezes_CRT0285,reprovado_vezes_CRT0286,reprovado_vezes_CRT0287,reprovado_vezes_CRT0288,reprovado_vezes_CRT0289,reprovado_vezes_CRT0290,reprovado_vezes_CRT0291,reprovado_vezes_CRT0292,reprovado_vezes_CRT0293,reprovado_vezes_CRT0294,reprovado_vezes_CRT0314,reprovado_vezes_CRT0338,reprovado_vezes_CRT0339,reprovado_vezes_CRT0340,reprovado_vezes_CRT0342,reprovado_vezes_CRT0343,reprovado_vezes_CRT0344,reprovado_vezes_CRT0345,reprovado_vezes_CRT0347,reprovado_vezes_CRT0348,reprovado_vezes_CRT0349,reprovado_vezes_CRT0350,reprovado_vezes_CRT0351,reprovado_vezes_CRT0353,reprovado_vezes_CRT0358,reprovado_vezes_CRT0359,reprovado_vezes_CRT0366,reprovado_vezes_CRT0368,reprovado_vezes_CRT0377,reprovado_vezes_CRT0386,reprovado_vezes_CRT0399,reprovado_vezes_CRT0400,reprovado_vezes_CRT0423,reprovado_vezes_CRT0435,reprovado_vezes_CRT0436,reprovado_vezes_CRT0437,reprovado_vezes_CRT0438,reprovado_vezes_CRT0439,reprovado_vezes_CRT0440,reprovado_vezes_CRT0441,reprovado_vezes_CRT0442,reprovado_vezes_CRT0443,reprovado_vezes_CRT0444,reprovado_vezes_CRT0445,reprovado_vezes_CRT0446,reprovado_vezes_CRT0447,reprovado_vezes_CRT0448,reprovado_vezes_CRT0449,reprovado_vezes_CRT0450,reprovado_vezes_CRT0451,reprovado_vezes_CRT0452,reprovado_vezes_CRT0453,reprovado_vezes_CRT0454,reprovado_vezes_CRT0455,reprovado_vezes_CRT0456,reprovado_vezes_CRT0457,reprovado_vezes_CRT0458,reprovado_vezes_CRT0459,reprovado_vezes_CRT0460,reprovado_vezes_CRT0461,reprovado_vezes_CRT0464,reprovado_vezes_CRT0466,reprovado_vezes_CRT0467,reprovado_vezes_CRT0468,reprovado_vezes_CRT0469,reprovado_vezes_CRT0471,reprovado_vezes_CRT0472,reprovado_vezes_CRT0473,reprovado_vezes_CRT0474,reprovado_vezes_CRT0475,reprovado_vezes_CRT0476,reprovado_vezes_CRT0477,reprovado_vezes_CRT0478,reprovado_vezes_CRT0479,reprovado_vezes_CRT0480,reprovado_vezes_CRT0481,reprovado_vezes_CRT0482,reprovado_vezes_CRT0483,reprovado_vezes_CRT0484,reprovado_vezes_CRT0485,reprovado_vezes_CRT0486,reprovado_vezes_CRT0487,reprovado_vezes_CRT0488,reprovado_vezes_CRT0497,reprovado_vezes_CRT0498,reprovado_vezes_CRT0499,reprovado_vezes_CRT0500,reprovado_vezes_CRT0502,reprovado_vezes_CRT0503,reprovado_vezes_CRT0504,reprovado_vezes_CRT0505,reprovado_vezes_CRT0507,reprovado_vezes_CRT0509,reprovado_vezes_CRT0540,reprovado_vezes_CRT0596,reprovado_vezes_CRT0597,reprovado_vezes_CRT0598,reprovado_vezes_CRT0600,reprovado_vezes_CRT0951,reprovado_vezes_CRT0952,reprovado_vezes_CRT0953,reprovado_vezes_CRT0954,reprovado_vezes_CRT0955,reprovado_vezes_CRT0956,reprovado_vezes_CRT0960
475423,CRATEÚS/CE,CRATEÚS,ENGENHARIA DE MINAS,7.5644,2019.1,2024.1,3392.0,15,0,6,7.085245901639343,5.58927868852459,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472625,CRATEÚS/CE,CRATEÚS,ENGENHARIA DE MINAS,6.1706,2019.1,2024.1,3520.0,15,0,19,6.111392405063291,7.673842908146706,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501149,ARARENDÁ/CE,ARARENDÁ,ENGENHARIA DE MINAS,6.2421,2020.1,2025.1,3712.0,13,0,13,6.554054054054054,5.234024435394299,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500207,FORTALEZA/CE,FORTALEZA,ENGENHARIA DE MINAS,5.6159,2020.1,2025.1,2064.0,13,1,15,5.468000000000001,5.645077551020408,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499272,CRATEÚS/CE,CRATEÚS,ENGENHARIA DE MINAS,7.4994,2020.1,2025.1,2992.0,13,1,8,7.396551724137932,5.321391409558379,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500155,NOVO ORIENTE/CE,NOVO ORIENTE,ENGENHARIA DE MINAS,8.0324,2020.1,2025.1,3568.0,13,0,5,7.661538461538462,5.255841346153846,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495003,CRATEÚS/CE,CRATEÚS,ENGENHARIA DE MINAS,5.1104,2020.1,2025.1,2416.0,13,0,23,5.421875,8.327767857142856,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
